,Disease,Symptoms,Sheet Link
373,Bacterial diarrhea (Campylobacter Gastroenteritis),,
374,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),,
375,Bacterial Endocarditis Prophylaxis (Bacterial Endocarditis Prevention),,
376,"Bacterial Eye Infection (Conjunctivitis, Bacterial)",,
377,Bacterial Infection,,
378,Bacterial Skin Infection,,
379,Bacterial Vaginitis,,
380,Bacterial Vaginosis (Bacterial Vaginitis),,
381,Balance Disorder (Vertigo),,
382,Balanitis (Balanoposthitis),,
383,Balanoposthitis,,
384,Balantidium coli,,
385,Balding (Alopecia),,
386,Baldness (Alopecia),,
387,"Baldness, female pattern (Alopecia)",,
388,"Baldness, male (Androgenetic Alopecia)",,
389,Barber's Itch (Tinea Barbae),,
390,Barium Meal Transit,,
391,Barium Poisoning,,
392,Barlow Syndrome (Mitral Valve Prolapse),,
393,Barrett's Esophagus,,
394,Barrett's Syndrome (Barrett's Esophagus),,
395,Bartonellosis,,
396,Bartter Syndrome,,
397,Basal Cell Carcinoma,,
398,Basal Cell Skin Cancer (Basal Cell Carcinoma),,
399,Basilar Artery Migraine (Migraine),,
400,Basilar-Type Migraine (Migraine),,
401,BCC (Basal Cell Carcinoma),,
402,BDD (Body Dysmorphic Disorder),,
403,Beard Ringworm (Tinea Barbae),,
404,Becker Muscular Dystrophy (Muscular Dystrophy),,
405,BED (Binge Eating Disorder),,
406,Bed Sores (Dermal Ulcer),,
407,Bedwetting (Enuresis),,
408,Beef Tapeworm Infection (Taenia saginata),,
409,Behcet's Disease,,
410,Bejel,,
411,Belching (Gas),,
412,Belesh (Bejel),,
413,Benign Essential Tremor,,
414,Benign Fasciculation Syndrome (Muscle Twitching),,
415,Benign Intracranial Hypertension (Pseudotumor Cerebri),,
416,Benign Liver Tumor,,
417,Benign Myalgic Encephalomyelitis (Chronic Fatigue Syndrome),,
418,Benign Prostatic Enlargement (Benign Prostatic Hyperplasia),,
419,Benign Prostatic Hyperplasia,,
420,Benign Prostatic Hypertrophy (Benign Prostatic Hyperplasia),,
421,Benign Symmetrical Lipomatosis (Madelung's Disease),,
422,Benzodiazepine Overdose,,
423,Benzodiazepine Withdrawal,,
424,Berger's Disease (IgA Nephropathy),,
425,Beriberi,,
426,Bernhardt-Roth Syndrome (Meralgia Paresthetica),,
427,Berylliosis,,
428,"Beryllium Disease, Chronic (Berylliosis)",,
429,Beta Thalassemia (Thalassemia),,
430,BFS (Muscle Twitching),,
431,Bicuspid Aortic Valve Disease (Valvular Heart Disease),,
432,Bilateral acoustic neurofibromatosis (Neurofibromatosis),,
433,Bile Acid Synthesis Disorders,,
434,Bile calculus (Gallstones),,
435,Bile duct cancer (Biliary Tract Tumor),,
436,Bile duct stone (Gallstones),,
437,Biliary calculus (Gallstones),,
438,Biliary Cirrhosis,,
439,Biliary Fistula (Gallbladder Fistula),,
440,Biliary Obstruction,,
441,Biliary Tract and Hepatic Tumor,,
442,Biliary Tract Surgery,,
443,Biliary Tract Tumor,,
444,Billowing mitral valve (Mitral Valve Prolapse),,
445,Binge Eating Disorder,,
446,Bipolar Affective Disorder (Bipolar Disorder),,
447,Bipolar Affective Mood Disorder (Bipolar Disorder),,
448,Bipolar Disorder,,
449,Bipolar I Disorder (Bipolar Disorder),,
450,Bipolar II Disorder (Bipolar Disorder),,
451,Bird flu (Avian Influenza),,
452,Birth Control (Contraception),,
453,Birth Control,,
454,Blackheads (Acne),,
455,Bladder calculi (Urinary Tract Stones),,
456,Bladder Cancer,,
457,Bladder Hyperactivity (Overactive Bladder),,
458,Bladder Infection,,
459,Bladder Stones (Urinary Tract Stones),,
460,"Bladder, Weak (Urinary Incontinence)",,
461,Blastocystis hominis (Blastocystis Infection),,
462,Blastocystis Infection,,
463,Blastomycosis,,
464,Bleeding Associated with Coagulation Defect,,
465,Bleeding Disorder,,
466,"Bleeding, dysfunctional uterine (Abnormal Uterine Bleeding)",,
467,Blepharitis,,
468,Blepharoconjunctivitis,,
469,Blepharospasm,,
470,Blind loop syndrome (Malabsorption Syndrome),,
471,Bloating (Abdominal Distension),,
472,Blocked Nose (Nasal Congestion),,
473,Blood Cell Transplantation,,
474,Blood clot in the legs (Deep Vein Thrombosis),,
475,Blood Disorders,,
476,"Blood loss anemia (Anemia, Posthemorrhagic)",,
477,Blood Transfusion,,
478,BMS (Burning Mouth Syndrome),,
479,Body Dysmorphic Disorder,,
480,Body Imaging,,
481,Body Lice (Lice),,
482,Body Ringworm (Tinea Corporis),,
483,Bone Cancer (Osteosarcoma),,
484,"Bone Fracture (Fracture, bone)",,
485,Bone infection (Osteomyelitis),,
486,Bone Marrow Depression&Low Blood Counts,,
487,"Bone Marrow Transplantation, Failure or Engraftment Delay",,
488,"Bone Marrow Transplantation, Myeloid Reconstruction",,
489,Bone Marrow Transplantation,,
490,Bone Metastases (Osteolytic Bone Metastases of Solid Tumors),,
491,"Bone Metastases of Breast Cancer (Breast Cancer, Bone Metastases)",,
492,Bone Thinning (Osteoporosis),,
493,Bone tumor (Osteosarcoma),,
494,Borderline Personality Disorder,,
495,Botulism Prophylaxis,,
496,Botulism,,
497,Bouba (Yaws),,
498,Bourbon Virus Disease,,
499,Bowel Incontinence (Fecal Incontinence),,
500,Bowel obstruction (Intestinal Obstruction),,
501,Bowel Preparation,,
502,BPD (Borderline Personality Disorder),,
503,BPH (Benign Prostatic Hyperplasia),,
504,Brachial Plexitis (Brachial Plexopathy),,
505,Brachial Plexopathy,,
506,Brachial Plexus Avulsion (Brachial Plexopathy),,
507,Brachial plexus dysfunction (Brachial Plexopathy),,
508,Bradyarrhythmia,,
509,Bradycardia (Bradyarrhythmia),,
510,Brain abscess (CNS Infection),,
511,Brain Aneurysm (Cerebral Aneurysm),,
512,Brain Anomalies incl Congenital,,
513,Brain Cancer (Brain Tumor),,
514,Brain Injury (Head Injury),,
515,"Brain Tumor, metastatic (Brain Tumor)",,
516,Brain Tumor,,
517,Breakouts (Acne),,
518,Breakthrough Pain,,
519,Breast Asymmetry Disorder,,
520,"Breast Cancer, Adjuvant",,
521,"Breast Cancer, Bone Metastases",,
522,"Breast Cancer, inflammatory (Breast Cancer)",,
523,"Breast Cancer, Male",,
524,"Breast Cancer, Metastatic",,
525,"Breast Cancer, Palliative",,
526,"Breast Cancer, Prevention",,
527,Breast Cancer,,
528,Breast Conditions,,
529,Breast Milk Insufficiency (Lactation Augmentation),,
530,Brittle bone disease (Osteogenesis Imperfecta),,
531,"Broken Ankle (Fracture, bone)",,
532,"Broken Arm (Fracture, bone)",,
533,"Broken Bone (Fracture, bone)",,
534,Broken Heart Syndrome (Takotsubo Cardiomyopathy),,
535,"Broken Leg (Fracture, bone)",,
536,"Broken Nose (Fracture, bone)",,
537,"Broken Wrist (Fracture, bone)",,
538,Bronchial Asthma (Asthma),,
539,Bronchiectasis,,
540,Bronchiolitis (Respiratory Syncytial Virus),,
541,Bronchitis with Airway Obstruction (COPD),,
542,"Bronchitis, Chronic (COPD)",,
543,Bronchitis,,
544,Bronchogenic Carcinoma,,
545,Bronchopleural Fistula,,
546,Bronchopneumonia (Pneumonia),,
547,Bronchopulmonary Dysplasia,,
548,Bronchospasm During Anesthesia,,
549,Bronchospasm Prophylaxis,,
550,Bronchospastic Disease,,
551,Brucellosis,,
552,Bruxism,,
553,Bubonic plague (Plague),,
554,Budd-Chiari syndrome (Thrombotic&Thromboembolic Disorder),,
555,Buerger's Disease (Thromboangiitis Obliterans),,
556,Bulimia Nervosa (Bulimia),,
557,Bulimia,,
558,Bullous Pemphigoid,,
559,Bundle Branch Block (Heart Block),,
560,Burkitt Lymphoma,,
561,Burkitt's Lymphoma (Burkitt Lymphoma),,
562,Burkitt's Tumor (Burkitt Lymphoma),,
563,Burning Mouth Syndrome (Glossopyrosis),,
564,Burning Thigh Pain (Meralgia Paresthetica),,
565,"Burns, External",,
566,"Burns, minor (Minor Burns)",,
567,"Burns, Nitrogen Retention",,
568,Burping (Gas),,
569,Bursitis,,
570,C-PTSD (Post Traumatic Stress Disorder),,
571,C2 Neuralgia (Occipital Neuralgia),,
572,CA-MRSA (Methicillin-Resistant Staphylococcus Aureus Infection),,
573,Cachexia,,
574,CAD (Coronary Artery Disease),,
575,Calcium Oxalate Calculi with Hyperuricosuria,,
576,Calf Injury (Muscle Pain),,
577,Calf Pain (Muscle Pain),,
578,Calf pain with exercise (Muscle Pain),,
579,Campylobacter Enteritis (Campylobacter Gastroenteritis),,
580,Campylobacter Gastroenteritis,,
581,"Cancer, Acute Childhood Leukemia (Acute Lymphocytic Leukemia)",,
582,"Cancer, Acute Granulocytic Leukemia (Acute Myeloid Leukemia)",,
583,"Cancer, Acute Lymphocytic Leukemia (Acute Lymphocytic Leukemia)",,
584,"Cancer, Acute Myelogenous Leukemia (Acute Myeloid Leukemia)",,
585,"Cancer, Acute Myeloid Leukemia (Acute Myeloid Leukemia)",,
586,"Cancer, Acute Promyelocytic Leukemia (Acute Promyelocytic Leukemia)",,
587,"Cancer, Anal (Colorectal Cancer)",,
588,"Cancer, Basal Cell Carcinoma (Basal Cell Carcinoma)",,
589,"Cancer, Bile Duct (Biliary Tract Tumor)",,
590,"Cancer, Bladder (Bladder Cancer)",,
591,"Cancer, bone (Osteosarcoma)",,
592,"Cancer, Brain (Brain Tumor)",,
593,"Cancer, Breast (Breast Cancer)",,
594,"Cancer, Bronchogenic Carcinoma (Bronchogenic Carcinoma)",,
595,"Cancer, Burkitt Lymphoma (Burkitt Lymphoma)",,
596,"Cancer, Cervix (Cervical Cancer)",,
597,"Cancer, Chronic Eosinophilic Leukemia (Chronic Eosinophilic Leukemia)",,
598,"Cancer, Chronic Lymphocytic Leukemia (Chronic Lymphocytic Leukemia)",,
599,"Cancer, Chronic Myelogenous Leukemia (Chronic Myelogenous Leukemia)",,
600,"Cancer, Colon (Colorectal Cancer)",,
601,"Cancer, Colorectal (Colorectal Cancer)",,
602,"Cancer, Conjunctival Mucosa-Associated Lymphoid Tissue Lymphoma (Conjunctival Mucosa-Associated Lymphoid Tissue Lymphoma)",,
603,"Cancer, Cutaneous T-cell Lymphoma (Cutaneous T-cell Lymphoma)",,
604,"Cancer, Dermatofibrosarcoma Protuberans (Dermatofibrosarcoma Protuberans)",,
605,"Cancer, Endometrial (Endometrial Cancer)",,
606,"Cancer, Fallopian Tube (Fallopian Tube Cancer)",,
607,"Cancer, Gastric (Stomach Cancer)",,
608,"Cancer, Hairy Cell Leukemia (Hairy Cell Leukemia)",,
609,"Cancer, Hodgkin's Lymphoma (Hodgkin's Lymphoma)",,
610,"Cancer, Hypernephroma (Renal Cell Carcinoma)",,
611,"Cancer, Kaposi's Sarcoma (Kaposi's Sarcoma)",,
612,"Cancer, Kidney (Renal Cell Carcinoma)",,
613,"Cancer, Leukemia (Leukemia)",,
614,"Cancer, lung (Lung Cancer)",,
615,"Cancer, Lung, Non-Small Cell (Non-Small Cell Lung Cancer)",,
616,"Cancer, Lung, Small Cell (Small Cell Lung Cancer)",,
617,"Cancer, Lymphoma (Lymphoma)",,
618,"Cancer, Malignant Plasmacytoma (Multiple Myeloma)",,
619,"Cancer, Malignant Pleural Mesothelioma (Malignant Pleural Mesothelioma)",,
620,"Cancer, Melanoma (Melanoma)",,
621,"Cancer, Meningeal Leukemia (Meningeal Leukemia)",,
622,"Cancer, Multiple Myeloma (Multiple Myeloma)",,
623,"Cancer, Nephroblastoma (Wilms' Tumor)",,
624,"Cancer, Non-Hodgkin's Lymphoma (Non-Hodgkin's Lymphoma)",,
625,"Cancer, Osteogenic Sarcoma (Osteogenic Sarcoma)",,
626,"Cancer, osteosarcoma (Osteosarcoma)",,
627,"Cancer, Ovarian (Ovarian Cancer)",,
628,"Cancer, Ovaries (Ovarian Cancer)",,
629,"Cancer, Pancreas (Pancreatic Cancer)",,
630,"Cancer, Pancreatic (Pancreatic Cancer)",,
631,"Cancer, Plasma Cell Dyscrasia (Multiple Myeloma)",,
632,"Cancer, Plasma Cell Myeloma (Multiple Myeloma)",,
633,"Cancer, Prostate (Prostate Cancer)",,
634,"Cancer, Rectal (Colorectal Cancer)",,
635,"Cancer, Renal (Renal Cell Carcinoma)",,
636,"Cancer, Renal Cell Carcinoma (Renal Cell Carcinoma)",,
637,"Cancer, Rhabdomyosarcoma (Soft Tissue Sarcoma)",,
